"adult","budget","homepage","tmdbId","imdb_id","original_language","original_title","popularity","release_date","revenue","runtime","status","tagline","title","video","vote_average","vote_count"
"False","0","","58372","tt0114241","en","Reckless","0.119713","1995-11-17",0,91,"Released","The most twisted Christmas ever.","Reckless","False",10,1
"False","0","","278939","tt0113173","en","Girl in the Cadillac","0.405392","1995-10-24",0,89,"Released","On our first date... we robbed a bank","Girl in the Cadillac","False",10,1
"False","0","","73183","tt0113270","en","The Haunted World of Edward D. Wood, Jr.","0.037443","1996-05-01",0,112,"Released","Can your MIND stand the SHOCKING TRUTH?","The Haunted World of Edward D. Wood, Jr.","False",10,1
"False","0","","255546","tt0109381","pt","Carmen Miranda: Bananas Is My Business","0.146287","1995-04-13",0,91,"Released","","Carmen Miranda: Bananas Is My Business","False",10,1
"False","0","","64562","tt0119845","en","Other Voices Other Rooms","0.03668","1995-09-15",0,0,"Released","","Other Voices Other Rooms","False",10,1
"False","0","","78373","tt0118925","en","Dancer, Texas Pop. 81","0.567444","1998-05-01",565592,97,"Released","in the middle of nowhere they had everything","Dancer, Texas Pop. 81","False",10,1
"False","0","http://www.thefarmerswifefilm.co.uk/","143750","tt2140519","en","The Farmer's Wife","0.211754","2012-06-20",0,18,"Released","","The Farmer's Wife","False",10,1
"False","0","","89861","tt0120210","en","Stiff Upper Lips","0.882132","1998-06-12",0,99,"Released","","Stiff Upper Lips","False",10,1
"False","0","","124853","tt0114008","en","Ten Benny","0.064219","1995-04-09",0,108,"Released","","Ten Benny","False",10,1
"False","0","","49477","tt0192069","en","Gendernauts: A Journey Through Shifting Identities","0.073744","1999-06-12",0,87,"Released","","Gendernauts: A Journey Through Shifting Identities","False",10,2
"False","0","","54968","tt0161977","en","Simon Magus","0.313628","1999-02-17",0,101,"Released","misfit - outcast - turncoat - prophet - hero","Simon Magus","False",10,1
"False","0","","114524","tt0097099","en","Common Threads: Stories from the Quilt","0.544277","1989-12-01",0,79,"Released","","Common Threads: Stories from the Quilt","False",10,2
"False","0","","27079","tt0338467","en","Stuey","0.888157","2003-05-01",0,120,"Released","","High Roller: The Stu Ungar Story","False",10,1
"False","0","","34662","tt0053001","en","Li'l Abner","0.611118","1959-12-11",0,114,"Released","","Li'l Abner","False",10,1
"False","0","","43147","tt0022696","en","Blessed Event","0.090803","1932-09-10",0,80,"Released","Here it is! The scandalous comedy of a scandal columnist who rose FROM A KEYHOLE TO A NATIONAL INSTITUTION","Blessed Event","False",10,1
"False","0","","68736","tt0067275","en","Joe Cocker - Mad Dogs & Englishmen","0.035284","1971-08-27",0,117,"Released","Joe Cocker","Joe Cocker - Mad Dogs & Englishmen","False",10,1
"False","0","","61648","tt0039847","en","Something in the Wind","0.222832","1947-07-21",0,94,"Released","","Something in the Wind","False",10,1
"False","0","","42173","tt0079278","en","Chilly Scenes of Winter","0.009192","1979-10-19",0,92,"Released","A romantic comedy for all seasons.","Chilly Scenes of Winter","False",10,1
"False","0","","43034","tt0053901","en","Hell to Eternity","0.157003","1960-08-01",0,131,"Released","The Marines' Battle Cry of the South Pacific!","Hell to Eternity","False",10,1
"False","0","","38971","tt0358631","en","Pavement: Slow Century","0.042737","2002-10-22",0,85,"Released","","Pavement: Slow Century","False",10,1
"False","130","","234937","tt0906743","en","Forever","0.554205","2006-10-05",0,97,"Released","","Forever","False",10,1
"False","0","","125512","tt0080629","en","Dinosaurs!  A Fun-Filled Trip Back In Time","0.004948","1987-01-01",0,30,"Released","","Dinosaurs!  A Fun-Filled Trip Back In Time","False",10,1
"False","0","","37255","tt0428040","en","Ween: Live in Chicago","0.043068","2004-05-04",0,120,"Released","","Ween: Live in Chicago","False",10,1
"False","0","","211256","tt0029077","ja","Kaze no naka no kodomo","0.046349","1937-01-01",0,88,"Released","","Children in the Wind","False",10,1
"False","0","","47282","tt0095530","en","Little Dorrit","0.424104","1987-12-11",0,357,"Released","","Little Dorrit","False",10,1
"False","0","","96451","tt1587373","en","If God Is Willing and da Creek Don't Rise","0.109599","2010-08-23",0,255,"Released","","If God Is Willing and da Creek Don't Rise","False",10,1
"False","5","","195651","tt0120754","en","The Misadventures of Margaret","0.196886","1998-12-23",0,105,"Released","","The Misadventures of Margaret","False",10,1
"False","0","","109887","tt0041672","en","My Foolish Heart","0.065284","1950-01-21",0,98,"Released","","My Foolish Heart","False",10,1
"False","0","","115427","tt0292081","hu","Macbeth","0.017296","1982-01-01",0,72,"Released","","Macbeth","False",10,1
"False","0","","263532","tt0403962","en","The Danube Exodus","0.036519","1998-07-29",0,60,"Released","","The Danube Exodus","False",10,1
"False","0","","123320","tt1433817","en","Säilöttyjä unelmia","0.043575","2012-01-25",0,75,"Released","","Canned Dreams","False",10,1
"False","0","","75132","tt0098023","en","Ollie Hopnoodle's Haven of Bliss","0.016421","1988-08-05",0,89,"Released","","Ollie Hopnoodle's Haven of Bliss","False",10,1
"False","0","","105567","tt1854364","en","The Union","0.355876","2012-01-01",0,87,"Released","","The Union","False",10,1
"False","0","","148408","tt0412608","it","La cotta","0.03688","1967-02-16",0,49,"Released","","The Crush","False",10,1
"False","0","","21317","tt1326839","en","Paramore: The Final Riot!","0.059843","2008-10-25",0,70,"Released","","Paramore: The Final Riot!","True",10,1
"False","0","http://www.roadtoredemption.com/","46016","tt0256341","en","Road to Redemption","0.040854","2001-09-28",0,89,"","","Road to Redemption","False",10,1
"False","0","","71508","tt0081597","en","The Taming of the Shrew","0.329193","1980-10-23",0,126,"Released","The swaggering Petruchio, eager to wive it wealthily in Padua, agrees to marry the spitting hellcat, Katherine.","The Taming of the Shrew","False",10,1
"False","0","","84765","tt0076341","tl","Mababangong Bangungot","0.009192","1977-01-01",0,93,"Released","","Perfumed Nightmare","False",10,2
"False","0","","157862","tt0087366","en","Growing Pains","0.853913","1984-11-11",0,85,"Released","","Growing Pains","False",10,1
"False","0","","259808","tt0099321","en","Criminal Justice","1.460826","1990-09-08",0,90,"Released","","Criminal Justice","False",10,1
"False","0","","107231","tt0057583","en","A Ticklish Affair","0.096838","1963-08-18",0,88,"Released","It's more fun than marriage.","A Ticklish Affair","False",10,1
"False","0","http://www.almostkingsmovie.com/","62503","tt1529346","en","Almost Kings","0.167343","2010-11-11",0,93,"Released","Do you have what it takes to walk away","Almost Kings","False",10,2
"False","0","","320849","tt0886500","en","Ice Age Columbus: Who Were the First Americans?","0.043244","2005-01-01",0,0,"Released","","Ice Age Columbus: Who Were the First Americans?","False",10,1
"False","0","","113364","tt0803890","en","Stealing a Nation","0.07933","2004-01-01",0,56,"Released","The shocking film Australian networks won't touch!","Stealing a Nation","False",10,1
"False","0","","293412","","en","Running Wild","0.465559","1995-01-01",0,0,"Released","","Running Wild","False",10,1
"False","0","","143534","tt0015493","en","The White Shadow","0.143297","1924-05-05",0,44,"Released","","The White Shadow","False",10,1
"False","0","","132812","tt0452604","en","Cowboy del Amor","0.052706","2005-03-12",0,86,"Released","","Cowboy del Amor","False",10,1
"False","0","","388182","tt2669832","fa","هیچ کجا هیچ کس","0.070407","2013-08-07",0,NA,"Released","","هیچ کجا هیچ کس","False",10,1
"False","0","http://oxenagos.gr/?page_id=186","163795","tt1592530","en","Ο Ξεναγός","0.042369","2011-04-27",0,94,"Released","The guide is never part of the group","The Guide","False",10,1
"False","0","http://www.marvinhamlischmovie.com/","230864","tt3011874","en","Marvin Hamlisch: What He Did For Love","0.371755","2013-10-12",0,82,"Released","","Marvin Hamlisch: What He Did For Love","False",10,1
"False","0","","72123","tt1341746","en","Meat the Truth","0.09108","2008-10-03",0,74,"Released","","Meat the Truth","False",10,1
"False","100000","","89445","tt0404011","en","Eggshells","0.055097","1969-01-01",0,89,"Released","An American Freak Illumination","Eggshells","False",10,1
"False","0","","197611","tt0075014","en","Dragonfly","0.646465","1976-03-01",0,98,"Released","","Dragonfly","False",10,1
"False","0","","86297","tt0054367","en","Tall Story","0.463448","1960-04-06",0,91,"Released","SUCH FUN! That college girl who can't help lovin' tall boys!...","Tall Story","False",10,1
"False","0","","261813","tt3793686","en","Slaying the Badger","0.050663","2014-07-22",0,77,"Released","","Slaying the Badger","False",10,1
"False","0","http://horismokumovie.com/","54336","tt1185598","en","Hori Smoku Sailor Jerry","0.039175","2008-03-03",0,73,"Released","The life and times of American tattoo master Norman K. Collins","Hori Smoku Sailor Jerry","False",10,1
"False","0","","199415","tt2082155","es","200 Cartas","0.122935","2013-06-14",0,98,"Released","","Looking for Maria Sanchez","False",10,1
"False","0","","108648","tt0163985","ja","牡丹燈籠","0.076951","1968-06-15",0,89,"Released","","The Bride from Hades","False",10,1
"False","0","http://www.hbo.com/documentaries/an-apology-to-elephants","248870","tt2836524","en","An Apology to Elephants","0.610441","2013-04-13",0,40,"Released","","An Apology to Elephants","False",10,1
"False","0","","184061","tt0069961","en","Deliver Us from Evil","0.317373","1973-09-11",0,75,"Released","","Deliver Us from Evil","False",10,1
"False","0","","149940","tt1757733","en","Double Tide","0.060493","2009-10-21",0,99,"Released","","Double Tide","False",10,1
"False","0","","116385","tt0054021","en","Let No Man Write My Epitaph","0.468404","1960-11-10",0,105,"Released","Ripped Raw and Roaring from Real Life!","Let No Man Write My Epitaph","False",10,1
"False","0","","74417","tt0194268","fr","La polizia sta a guardare","0.049823","1973-11-16",0,95,"Released","the great kidnapping","The Great Kidnapping","False",10,1
"False","0","","122348","tt1343394","en","Lunch Break","0.084113","2008-11-21",0,83,"Released","","Lunch Break","False",10,1
"False","0","","145162","tt0066543","en","The Walking Stick","0.584448","1970-06-05",0,96,"Released","Some women will do anything a man asks...","The Walking Stick","False",10,1
"False","0","","241804","tt0044608","en","Fearless Fagan","0.351728","1952-08-15",0,79,"Released","","Fearless Fagan","False",10,1
"False","0","","153936","tt0420511","en","Back to School with Franklin","0.040437","2003-08-19",0,47,"Released","","Back to School with Franklin","False",10,1
"False","0","http://www.symphonyofthesoil.com/","186845","tt2229399","en","Symphony of the Soil","0.047271","2013-10-11",0,104,"Released","","Symphony of the Soil","False",10,1
"False","0","","19993","tt0975673","en","George Lopez: America's Mexican","0.534723","2007-02-24",0,65,"Released","Star. Spanglish. Banter.","George Lopez: America's Mexican","False",10,1
"False","0","","287299","tt3742040","en","Katt Williams: Priceless: Afterlife","0.476007","2014-08-16",0,58,"Released","Everybody has a price, because if you didn't you'd be... Priceless.","Katt Williams: Priceless: Afterlife","False",10,2
"False","0","","247447","tt0243218","fa","بید و باد","0.139262","2000-01-01",0,77,"Released","","Willow and Wind","False",10,1
"False","0","","138699","tt0050646","en","The Little Hut","0.883862","1957-05-03",0,90,"Released","A neglected wife is shipwrecked on a desert island with her husband and her would-be lover.","The Little Hut","False",10,2
"False","0","","279979","tt0099311","en","The Court-Martial of Jackie Robinson","0.081817","1990-10-15",0,100,"Released","Even before he crossed baseball's color barrier, his field of dreams was a nightmare.","The Court-Martial of Jackie Robinson","False",10,1
"False","0","","53543","tt0252993","en","Claymation Comedy of Horrors","0.007319","1991-05-29",0,30,"Released","","Claymation Comedy of Horrors","False",10,1
"False","0","","180954","tt0030933","en","Vessel of Wrath","0.657391","1938-03-04",0,92,"Released","","Vessel of Wrath","False",10,1
"False","0","","87506","tt0114081","en","Pan","0.037362","1995-03-24",0,115,"Released","","Pan","False",10,1
"False","0","","116437","tt1674274","lv","Kolka Cool","0.114604","2011-12-16",0,97,"Released","","Kolka Cool","False",10,2
"False","0","","144183","tt0111998","en","Heavy Weather","0.080985","1995-12-24",0,95,"Released","","Heavy Weather","False",10,1
"False","0","","66787","tt0462421","en","Mentor","0.527645","2006-04-28",0,92,"Released","","Mentor","False",10,1
"False","0","","150658","tt0076096","it","Goodbye & Amen","0.596517","1978-02-08",0,103,"Released","","Goodbye & Amen","False",10,1
"False","0","","162821","tt0098000","en","Nocturne Indien","0.022568","1989-05-26",0,0,"Released","","Nocturne Indien","False",10,1
"False","0","","97593","tt0075205","en","Shark Kill","0.011938","1976-05-20",0,76,"Released","Blood Red Waters on a Moonlit Night","Shark Kill","False",10,1
"False","0","https://www.facebook.com/SouthernBaptistSissies","260176","tt2729818","en","Southern Baptist Sissies","0.142123","2013-11-18",0,138,"Released","","Southern Baptist Sissies","False",10,1
"False","0","","72178","tt0091682","en","One Night Only","0.004425","1986-01-06",0,87,"Released","What fantasy could be worth $50,000?","One Night Only","False",10,1
"False","0","","322460","tt0064192","en","Crooks and Coronets","0.279551","1969-04-02",0,106,"Released","The caper could get $5,000,000. All these American hoods had to do was knock off the nice old lady in World War I flying garb, the eccentric gentleman with the crossbow and the man-eating lion.","Crooks and Coronets","False",10,1
"False","0","","139215","tt1247658","en","Garrison Keillor: The Man on the Radio in the Red Shoes","0.059671","2009-07-01",0,86,"Released","","Garrison Keillor: The Man on the Radio in the Red Shoes","False",10,1
"False","0","http://ellen.realfictionfilme.de/","81616","tt1468721","de","Im Alter von Ellen","0.123257","2010-08-06",0,97,"Released","","At Ellen’s Age","False",10,2
"False","0","","146679","tt0241218","en","Backyard Dogs","0.9854","2001-11-20",0,96,"Released","For the fame and the fortune, they'll fight like dogs","Backyard Dogs","False",10,1
"False","0","","72886","tt0363828","en","Mortal Kombat: The Journey Begins","0.714715","1995-08-28",0,54,"Released","Get Tough. Get Mean. Get Ready.","Mortal Kombat: The Journey Begins","False",10,1
"False","200","","249677","tt3446426","mr","Time Pass","0.110029","2014-01-03",0,143,"Released","","Time Pass","False",10,1
"False","60000","http://www.imdb.com/title/tt1274589/","140489","tt1274589","en","The Mother Of Invention","0.367293","2010-06-25",0,105,"Released","","The Mother Of Invention","False",10,1
"False","0","","53315","tt1172063","en","The Kreutzer Sonata","0.086266","2008-06-20",0,99,"Released","Love Turns to Jealousy, Jealousy To Rage, Rage To Violence","The Kreutzer Sonata","False",10,1
"False","0","","5731","tt0076780","en","Summer City","0.076562","1977-12-22",0,90,"Released","","Summer City","False",10,1
"False","0","","114423","tt0075803","en","Canal Zone","0.03078","1977-06-13",0,174,"Released","","Canal Zone","False",10,1
"False","0","http://www.pawprojectmovie.com/","224100","tt2447750","en","The Paw Project","0.047234","2013-09-27",0,58,"Released","A story about the fight for those who have no voice.","The Paw Project","False",10,1
"False","0","http://ohmygomez.com/mariposa","324578","tt3919820","es","Mariposa","0.35236","2015-02-07",0,103,"Released","Do you believe in parallel universes?","Butterfly","False",10,3
"False","0","","135679","tt0762070","en","Andrew Jenks, Room 335","0.096034","2008-01-15",0,90,"Released","","Andrew Jenks, Room 335","False",10,1
"False","0","https://www.facebook.com/OmgRobot","347328","tt2819130","he","אני לא מאמין, אני רובוט!","0.091121","2015-08-06",0,90,"Released","","OMG, I'm a Robot!","False",10,1
"False","0","","218974","tt3123116","en","Redemption","0.090273","2013-10-11",0,26,"Released","","Redemption","False",10,2
"False","0","","269961","tt0069115","fr","Pourquoi Israël","0.14729","1973-10-01",0,185,"Released","","Pourquoi Israël","False",10,1
"False","0","","123691","tt0104140","en","Dream Deceivers: The Story Behind James Vance vs. Judas Priest","0.061678","1992-08-06",0,61,"","Heavy Metal Goes On Trial","Dream Deceivers: The Story Behind James Vance vs. Judas Priest","False",10,1
"False","1800000","http://www.theitaliankey.com/","134782","tt1465513","en","The Italian Key","0.05983","2011-05-14",0,92,"Released","","The Italian Key","False",10,1
"False","0","","267178","tt1826550","en","Mad As Hell","0.027705","2014-04-29",0,80,"Released","","Mad As Hell","False",10,1
"False","0","","341201","tt0086531","sr","Veliki transport","0.165915","1983-07-04",0,134,"Released","","Great Transport","False",10,2
"False","0","","21466","tt0066070","hi","Mera Naam Joker","0.621181","1970-12-18",0,224,"Released","","Mera Naam Joker","False",10,3
"False","0","","143980","tt0110280","hi","Krantiveer","0.318826","1994-07-22",0,159,"Released","","Brave Revolutionary","False",10,1
"False","100000","http://soulsofzen.com/","130754","tt2294819","en","Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism","0.043532","2012-06-01",0,89,"Released","","Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism","False",10,1
"False","0","","202727","tt0044490","en","Cattle Town","0.314719","1952-09-06",0,71,"Released","THIS IS CATTLEMAN'S LAND, MISTER...and no man is tough enough to take it away!","Cattle Town","False",10,1
"False","0","","270926","tt3675486","uk","Майдан","0.16355","2014-05-21",0,130,"Released","","Maidan","False",10,3
"False","300000","","140595","tt0308213","en","Elaine Stritch: At Liberty","0.089067","2002-01-01",0,140,"Released","Legendary performances come along so rarely.","Elaine Stritch: At Liberty","False",10,1
"False","0","","43823","tt0033169","en","Tom Brown's School Days","0.039299","1940-07-19",0,86,"Released","","Tom Brown's School Days","False",10,1
"False","0","","277631","tt0075756","en","Birch Interval","0.320041","1976-05-02",0,104,"Released","","Birch Interval","False",10,1
"False","0","","211139","tt0058289","en","Leone di Tebe","1.783625","1964-06-27",0,89,"Released","","The Lion of Thebes","False",10,1
"False","0","","352156","tt4000936","en","Looking for Grace","0.224351","2016-01-26",0,100,"Released","Behind every smile there's a story","Looking for Grace","False",10,1
"False","0","","362100","tt0273406","en","Aashiq","0.001177","2001-01-01",0,0,"Released","","Aashiq","False",10,1
"False","0","http://terugnaarmorgen.be/nl/","361183","tt4085502","nl","Terug naar morgen","0.404432","2015-09-30",0,86,"Released","","Sum of Histories","False",10,1
"False","0","","151062","tt0104787","en","Mad at the Moon","1.225055","1992-09-16",0,98,"Released","When the moon rises, the howling begins.","Mad at the Moon","False",10,1
"False","0","","243416","tt0294266","en","Acéphale","0.052426","1969-01-01",0,90,"Released","","Acéphale","False",10,1
"False","0","","237422","tt0103741","en","Avetik","0.149675","1992-04-04",0,80,"Released","","Avetik","False",10,3
"False","0","","243934","tt0407099","en","Parapalos","0.04307","2004-03-31",0,90,"Released","","Pin Boy","False",10,1
"False","0","","371462","tt3777860","en","Mammal","0.274712","2016-04-01",0,99,"Released","","Mammal","False",10,1
"False","70000","http://www.shuttlecockboys.com/","215726","tt1679290","en","Shuttlecock Boys","0.071618","2012-08-02",0,76,"Released","'A Journey of Dreams'- Courage, Determination, Destiny","Shuttlecock Boys","False",10,1
"False","0","","49099","tt0083634","da","Befrielsesbilleder","0.380644","1982-06-30",0,57,"Released","","Images of a Relief","False",10,1
"False","0","","260352","tt0204913","en","Book of Days","0.04107","1989-11-30",0,74,"Released","","Book of Days","False",10,1
"False","0","","254902","tt0171474","uk","Лісова пісня. Мавка","0.239236","1980-07-23",0,83,"Released","","A Story of the Forest: Mavka","False",10,2
"False","0","https://iffr.com/en/professionals/2016/films/mother","382899","tt5437970","sl","Mama","0.066061","2016-01-27",0,90,"Released","","Mother","False",10,1
"False","0","","162611","tt0875140","en","Portrait of a Young Man in Three Movements","0.036471","1931-04-15",0,54,"Released","","Portrait of a Young Man in Three Movements","False",10,1
"False","0","","131907","tt0268261","es","No somos nadie","0.167703","2002-01-01",0,91,"Released","","God is on Air","False",10,1
"False","0","","65270","tt1545098","en","Kenny Chesney: Summer In 3D","0.071225","2010-08-21",0,0,"Rumored","","Kenny Chesney: Summer In 3D","False",10,1
"False","0","","47683","tt1034006","el","Αγάπη στα 16","0.041196","2004-11-25",0,102,"Released","","Love at 16","False",10,1
"False","0","","185273","tt0043356","en","Bowery Battalion","0.462816","1951-01-24",0,69,"Released","THEY'RE THE DAFFIEST DRAFTEES IN HISTORY!","Bowery Battalion","False",10,1
"False","0","","230284","tt0024411","en","One Man's Journey","0.625556","1933-08-31",0,72,"Released","","One Man's Journey","False",10,1
"False","0","","120249","tt0130430","en","‘Rameau’s Nephew’ by Diderot (Thanx to Dennis Young) by Wilma Schoen","0.070473","1974-11-05",0,270,"Released","","‘Rameau’s Nephew’ by Diderot (Thanx to Dennis Young) by Wilma Schoen","False",10,1
"False","0","","197849","tt0065138","hu","Sirokkó","0.570793","1969-12-04",0,91,"Released","","Winter Wind","False",10,1
"False","0","http://www.oldfashionedthemovie.com/","400791","tt4386134","en","Old Fashioned: The Story of the Wisconsin Supper Club","0.057691","2015-04-10",0,51,"Released","A new documentary on an old fashioned tradition","Old Fashioned: The Story of the Wisconsin Supper Club","False",10,1
"False","0","","206657","tt2007506","en","Truckfighters","0.066072","2011-11-15",0,84,"Released","","Truckfighters","False",10,1
"False","0","http://espn.go.com/30for30/film?page=survive%20and%20advance","177869","tt2751904","en","Survive and Advance","0.08118","2013-03-17",0,90,"Released","","Survive and Advance","False",10,2
"False","0","","101185","tt0086711","en","The Far Pavilions","1.178475","1984-04-21",0,320,"Released","The 'Gone With The Wind' of the north-west frontier of India.","The Far Pavilions","False",10,1
"False","0","","84275","tt0165362","en","李三腳威震地獄門","0.124803","1977-03-25",0,0,"Released","This film is dedicated to millions who love Bruce Lee","The Dragon Lives Again","False",10,1
"False","0","","405653","tt4079332","en","The Death and Life of Otto Bloom","0.208467","2016-07-28",0,0,"Post Production","","The Death and Life of Otto Bloom","False",10,1
"False","0","","407298","tt3468612","en","American Hostage","0.11167","2016-03-25",0,100,"Released","","American Hostage","False",10,1
"False","0","","86360","tt0020466","en","Sunnyside Up","0.401213","1929-12-25",0,121,"Released","The screen's first original all talking, singing, dancing musical comedy.","Sunnyside Up","False",10,1
"False","0","","403593","tt2922724","en","Bazodee","0.379968","2016-08-05",0,101,"Released","Love is a Carousel","Bazodee","False",10,1
"False","0","http://afilmedrecord.com/","149320","tt0065944","en","King: A Filmed Record... Montgomery to Memphis","0.810554","1970-03-24",0,185,"Released","","King: A Filmed Record... Montgomery to Memphis","False",10,1
"False","0","","407048","tt5590832","en","Scott Hall: Living on a Razor's Edge","0.003921","",0,0,"Released","","Scott Hall: Living on a Razor's Edge","True",10,2
"False","0","","288503","tt0082616","pt","Killjoy","0.15623","1981-08-24",0,96,"Released","","Killjoy","False",10,1
"False","0","","137381","tt1929346","en","People of a Feather","0.085595","2012-04-20",0,90,"Released","","People of a Feather","False",10,1
"False","0","https://www.facebook.com/Siccin3/","414827","tt6029122","tr","Siccin 3: Cürmü Ask","0.133286","2016-09-02",0,87,"Released","","Siccin 3: Cürmü Ask","False",10,2
"False","0","","169091","tt0086642","fr","Zig Zag Story","0.218568","1983-05-03",0,100,"Released","","Zig Zag Story","False",10,1
"False","0","","280030","tt2890140","en","Farewell Baghdad","0.357603","2014-04-10",0,105,"Released","","Farewell Baghdad","False",10,1
"False","0","","363383","tt3788510","hu","Az éjszakám a nappalod","0.144624","2015-10-26",0,0,"Released","","My Night, Your Day","False",10,1
"False","0","","410142","tt4150988","en","Lo Sound Desert","0.001393","",0,0,"Released","","Lo Sound Desert","False",10,1
"False","0","","119914","tt0090178","en","Titus Andronicus","0.234944","1985-04-25",0,168,"Released","","Titus Andronicus","False",10,1
"False","0","","251630","tt1272019","nl","A Kiss at Midnight","0.631015","2008-12-26",0,0,"Released","","A Kiss at Midnight","False",10,1
"False","0","","139434","tt1650031","en","You Don't Like the Truth: 4 Days Inside Guantanamo","0.198734","2010-01-01",0,100,"Released","","You Don't Like the Truth: 4 Days Inside Guantanamo","False",10,1
"False","0","","425553","tt5194446","sv","Flykten till framtiden","0.371238","2016-11-11",0,99,"Released","","My Future Love","False",10,1
"False","0","","401593","tt5814512","en","Big Jay Oakerson: Live at Webster Hall","0.248238","2016-06-17",0,0,"Released","","Big Jay Oakerson: Live at Webster Hall","False",10,1
"False","0","","365544","tt5172306","ru","Крепость: щитом и мечом","0.349582","2015-10-29",0,NA,"Released","","Крепость: щитом и мечом","False",10,1
"False","0","","290911","tt3221210","de","Paradies 505. Ein Niederbayernkrimi","0.048331","2013-10-19",0,NA,"Released","","Paradies 505. Ein Niederbayernkrimi","False",10,1
"False","480000","https://www.facebook.com/thebachelor.movie/","400753","tt5748648","el","The Bachelor","0.187552","2016-12-01",0,110,"Released","","The Bachelor","False",10,2
"False","0","","305019","tt3569014","en","Campaign of Hate: Russia and Gay Propaganda","0.050591","2014-06-22",0,0,"Released","","Campaign of Hate: Russia and Gay Propaganda","False",10,1
"False","0","","299909","tt2622620","en","Bella Vita","0.052588","2014-09-16",0,0,"Released","","Bella Vita","False",10,1
"False","0","","170078","tt0239608","en","Maula Jat","0.017521","1979-02-10",0,156,"Released","Maula Jat tells the true story of it's eponymous hero's blood feud with the local ""gunda"" Nuri Nath.","Maula Jat","False",10,1
"False","0","","190605","tt0000364","en","Panorama of Esplanade by Night","0.066255","1901-11-11",0,1,"Released","","Panorama of Esplanade by Night","False",10,1
"False","0","","163839","tt0033398","en","The Black Sheep of Whitehall","0.1531","1942-02-23",0,80,"Released","","The Black Sheep of Whitehall","False",10,1
"False","0","","295011","tt3458254","en","Patient Zero","1.083454","",0,0,"Post Production","","Patient Zero","False",10,2
