timeofyear,houseage,distMRT,stores,latitude,longitude,price
2013.333,0.0,292.9978,6,24.97744,121.54458,69.7
2013.0,19.1,461.1016,5,24.95425,121.5399,34.0
2013.417,6.4,90.45606,9,24.97433,121.5431,62.2
2013.417,4.5,2275.877,3,24.96314,121.51151,29.3
2013.417,35.3,614.1394,7,24.97913,121.53666,33.1
2013.333,14.8,393.2606,6,24.96172,121.53812,7.6
2012.833,34.8,175.6294,8,24.97347,121.54271,40.9
2012.917,14.7,1935.009,2,24.96386,121.51458,22.9
2013.5,,2147.376,3,24.96299,121.51284,30.7
2013.5,30.3,4510.359,1,24.94925,121.49542,22.6
2013.0,18.0,1414.837,1,24.95182,121.54887,26.5
2013.083,13.3,492.2313,5,24.96515,121.53737,38.9
2013.583,16.6,323.6912,6,24.97841,121.5428,51.0
2013.333,4.7,387.7721,9,24.98118,121.53788,44.8
2013.583,2.6,533.4762,4,24.97445,121.54765,55.0
2013.0,8.9,3078.176,0,24.95464,121.56627,22.0
2013.0,33.9,157.6052,7,24.96628,121.54196,41.5
2013.333,19.2,383.7129,8,24.972,121.54477,48.1
2012.917,15.9,289.3248,5,24.98203,121.54348,53.0
2013.333,33.6,270.8895,0,24.97281,121.53265,42.9
2013.417,,592.5006,2,24.9726,121.53561,34.1
2012.75,,208.3905,6,24.95618,121.53844,44.0
2013.5,,3947.945,0,24.94783,121.50243,25.3
2013.417,,1164.838,4,24.99156,121.53406,32.2
2013.333,10.8,252.5822,1,24.9746,121.53046,117.5
2012.833,16.2,4074.736,0,24.94235,121.50357,14.7
2013.583,,533.4762,4,24.97445,121.54765,53.9
2013.083,32.0,1156.777,0,24.94935,121.53046,12.8
2012.833,1.8,1455.798,1,24.9512,121.549,27.0
2012.75,16.0,4066.587,0,24.94297,121.50342,11.6
2013.167,16.2,2288.011,3,24.95885,121.51359,24.4
2013.5,34.6,3085.17,0,24.998,121.5155,41.2
2013.5,10.4,2251.938,4,24.95957,121.51353,27.3
2013.5,8.5,104.8101,5,24.96674,121.54067,56.8
2012.667,,161.942,9,24.98353,121.53966,39.7
2013.417,28.6,197.1338,6,24.97631,121.54436,42.5
2013.25,3.7,577.9615,6,24.97201,121.54722,41.6
2012.917,,4066.587,0,24.94297,121.50342,20.5
2012.917,,167.5989,5,24.9663,121.54026,41.0
2013.417,33.5,1978.671,2,24.98674,121.51844,23.5
2012.75,13.5,4197.349,0,24.93885,121.50383,18.6
2013.0,16.9,967.4,4,24.98872,121.53408,40.3
2013.333,39.7,333.3679,9,24.98016,121.53932,32.4
2013.5,,4066.587,0,24.94297,121.50342,18.2
2013.417,18.2,350.8515,1,24.97544,121.53119,43.1
2013.583,30.6,431.1114,10,24.98123,121.53743,48.5
2013.583,6.2,1939.749,1,24.95155,121.55387,31.3
2012.917,31.9,1146.329,0,24.9492,121.53076,16.1
2013.0,,390.5684,5,24.97937,121.54245,39.4
2013.25,9.1,1402.016,0,24.98569,121.5276,43.2
2013.083,41.4,281.205,8,24.97345,121.54093,63.3
2013.083,,279.1726,7,24.97528,121.54541,47.9
2013.25,34.4,126.7286,8,24.96881,121.54089,48.2
2013.5,4.1,2147.376,3,24.96299,121.51284,31.3
2013.083,20.6,737.9161,2,24.98092,121.54739,46.4
2012.667,15.5,815.9314,4,24.97886,121.53464,37.4
2013.417,13.1,561.9845,5,24.98746,121.54391,45.9
2012.917,16.9,964.7496,4,24.98872,121.53411,37.7
2013.0,13.6,4082.015,0,24.94155,121.50381,15.9
2013.417,21.7,512.5487,4,24.974,121.53842,44.2
2013.083,33.0,181.0766,9,24.97697,121.54262,42.0
2013.083,42.7,443.802,6,24.97927,121.53874,35.3
2013.083,27.6,515.1122,5,24.96299,121.5432,37.4
2013.25,,292.9978,6,24.97744,121.54458,70.1
2013.417,18.5,2175.744,3,24.9633,121.51243,28.1
2013.5,16.4,3780.59,0,24.93293,121.51203,45.1
2013.583,4.0,2147.376,3,24.96299,121.51284,28.4
2013.333,,49.66105,8,24.95836,121.53756,56.8
2013.417,16.9,368.1363,8,24.9675,121.54451,42.3
2013.333,17.6,1805.665,2,24.98672,121.52091,31.1
2013.0,16.3,3529.564,0,24.93207,121.51597,29.3
2013.5,32.6,4136.271,1,24.95544,121.4963,24.7
2013.417,2.6,1554.25,3,24.97026,121.51642,31.1
2012.75,7.8,104.8101,5,24.96674,121.54067,47.0
2012.75,13.0,492.2313,5,24.96515,121.53737,40.5
2013.083,7.6,2175.03,3,24.96305,121.51254,27.7
2013.417,9.9,2102.427,3,24.96044,121.51462,23.1
2012.75,0.0,208.3905,6,24.95618,121.53844,45.7
2013.083,8.1,104.8101,5,24.96674,121.54067,51.6
2012.667,32.9,87.30222,10,24.983,121.54022,47.1
2013.583,16.9,4066.587,0,24.94297,121.50342,18.3
2013.333,13.9,289.3248,5,24.98203,121.54348,44.5
2013.333,8.3,104.8101,5,24.96674,121.54067,42.8
2013.083,38.6,804.6897,4,24.97838,121.53477,62.9
2012.667,,1712.632,2,24.96412,121.5167,31.3
2013.083,31.3,1758.406,1,24.95402,121.55282,20.7
2013.417,3.9,2147.376,3,24.96299,121.51284,31.7
2013.417,14.7,1717.193,2,24.96447,121.51649,23.0
2013.5,13.6,319.0708,6,24.96495,121.54277,47.4
2012.833,18.4,2674.961,3,24.96143,121.50827,25.7
2013.417,0.0,292.9978,6,24.97744,121.54458,73.6
2013.417,7.5,639.6198,5,24.97258,121.54814,40.8
2013.0,30.9,6396.283,1,24.94375,121.47883,12.2
2013.167,,4082.015,0,24.94155,121.50381,20.0
2013.0,13.6,4197.349,0,24.93885,121.50383,19.2
2012.667,1.5,23.38284,7,24.96772,121.54102,49.7
2013.0,18.0,1414.837,1,24.95182,121.54887,26.6
2013.5,13.2,1164.838,4,24.99156,121.53406,34.3
2013.417,,330.0854,8,24.97408,121.54011,43.4
2013.333,6.3,90.45606,9,24.97433,121.5431,58.1
2013.5,32.8,377.8302,9,24.97151,121.5435,38.6
2013.417,13.6,492.2313,5,24.96515,121.53737,43.8
2013.417,3.5,757.3377,3,24.97538,121.54971,36.7
2012.917,25.3,2707.392,3,24.96056,121.50831,17.7
2012.917,32.4,265.0609,8,24.98059,121.53986,40.2
2012.667,1.5,23.38284,7,24.96772,121.54102,47.7
2012.833,31.3,600.8604,5,24.96871,121.54651,30.9
2013.417,17.1,967.4,4,24.98872,121.53408,40.0
2013.417,,1626.083,3,24.96622,121.51668,29.4
2013.417,,1712.632,2,24.96412,121.5167,30.8
2013.333,,289.3248,5,24.98203,121.54348,53.3
2013.5,,4082.015,0,24.94155,121.50381,18.8
2013.417,,640.6071,5,24.97017,121.54647,37.5
2012.833,20.5,2185.128,3,24.96322,121.51237,25.6
2012.75,38.0,461.7848,0,24.97229,121.53445,35.7
2013.5,31.7,5512.038,1,24.95095,121.48458,18.8
2013.25,,815.9314,4,24.97886,121.53464,35.6
2013.167,13.3,492.2313,5,24.96515,121.53737,31.3
2013.167,13.0,732.8528,0,24.97668,121.52518,39.0
2013.083,29.3,1487.868,2,24.97542,121.51726,27.0
2013.5,13.1,1144.436,4,24.99176,121.53456,36.7
2013.417,,1783.18,3,24.96731,121.51486,22.1
2012.917,28.0,372.6242,6,24.97838,121.54119,40.8
2013.5,8.5,104.8101,5,24.96674,121.54067,55.5
2013.083,4.8,1559.827,3,24.97213,121.51627,21.7
2013.583,17.4,6488.021,1,24.95719,121.47353,11.2
2012.833,2.0,2077.39,3,24.96357,121.51329,33.4
2012.917,27.1,4412.765,1,24.95032,121.49587,17.4
2013.083,11.0,1712.632,2,24.96412,121.5167,28.8
2013.5,,439.7105,0,24.97161,121.53423,38.4
2012.833,31.7,1160.632,0,24.94968,121.53009,13.7
2012.75,15.6,752.7669,2,24.97795,121.53451,37.5
2013.25,,535.527,8,24.98092,121.53653,37.5
2012.667,12.6,383.2805,7,24.96735,121.54464,42.5
2013.333,17.5,995.7554,0,24.96305,121.54915,25.3
2013.417,,1962.628,1,24.95468,121.55481,23.5
2012.917,8.9,1406.43,0,24.98573,121.52758,48.0
2013.083,30.2,472.1745,3,24.97005,121.53758,36.5
2012.667,5.6,90.45606,9,24.97433,121.5431,50.0
2013.417,16.4,389.8219,6,24.96412,121.54273,40.6
2013.417,14.7,1717.193,2,24.96447,121.51649,30.5
2012.917,,2469.645,4,24.96108,121.51046,21.8
2013.25,17.8,1783.18,3,24.96731,121.51486,23.7
2013.167,1.1,193.5845,6,24.96571,121.54089,45.1
2013.167,16.2,289.3248,5,24.98203,121.54348,46.2
2013.417,,132.5469,9,24.98298,121.53981,47.3
2013.333,15.2,461.1016,5,24.95425,121.5399,34.6
2013.25,8.0,2216.612,4,24.96007,121.51361,23.9
2013.5,,492.2313,5,24.96515,121.53737,40.1
2013.083,12.8,1449.722,3,24.97289,121.51728,21.4
2012.667,,339.2289,1,24.97519,121.53151,26.5
2013.417,13.2,170.1289,1,24.97371,121.52984,29.3
2012.667,,329.9747,5,24.98254,121.54395,51.8
2013.0,19.0,1009.235,0,24.96357,121.54951,22.3
2013.417,33.6,371.2495,8,24.97254,121.54059,41.9
2012.917,32.0,84.87882,10,24.98298,121.54024,37.9
2013.167,39.8,617.7134,2,24.97577,121.53475,39.6
2013.417,6.4,90.45606,9,24.97433,121.5431,59.5
2013.083,7.1,451.2438,5,24.97563,121.54694,57.1
2013.5,13.9,4079.418,0,25.01459,121.51816,27.3
2013.417,32.8,204.1705,8,24.98236,121.53923,48.2
2012.833,3.4,56.47425,7,24.95744,121.53711,54.4
2013.167,1.9,372.1386,7,24.97293,121.54026,40.5
2013.417,38.5,216.8329,7,24.98086,121.54162,41.0
2013.417,,289.3248,5,24.98203,121.54348,51.0
2013.333,9.0,1402.016,0,24.98569,121.5276,38.5
2013.417,0.0,292.9978,6,24.97744,121.54458,63.3
2013.083,,274.0144,1,24.9748,121.53059,43.5
2013.083,15.6,1756.411,2,24.9832,121.51812,27.3
2013.083,13.2,150.9347,7,24.96725,121.54252,48.1
2013.083,,617.4424,3,24.97746,121.53299,34.6
2013.0,8.1,104.8101,5,24.96674,121.54067,52.5
2013.083,35.5,640.7391,3,24.97563,121.53715,40.8
2013.167,18.2,2179.59,3,24.96299,121.51252,21.8
2013.333,,1360.139,1,24.95204,121.54842,28.9
2013.25,1.1,193.5845,6,24.96571,121.54089,49.0
2013.5,,2288.011,3,24.95885,121.51359,23.2
2012.75,0.0,338.9679,9,24.96853,121.54413,50.8
2013.583,32.5,424.5442,8,24.97587,121.53913,36.3
2013.5,5.3,259.6607,6,24.97585,121.54516,63.2
2013.167,,57.58945,7,24.9675,121.54069,42.7
2013.25,3.8,383.8624,5,24.98085,121.54391,55.0
2013.417,11.9,3171.329,0,25.00115,121.51776,46.6
2012.667,,143.8383,8,24.98155,121.54142,53.3
2012.833,5.9,90.45606,9,24.97433,121.5431,52.7
2013.333,7.1,379.5575,10,24.98343,121.53762,49.8
2013.167,21.3,537.7971,4,24.97425,121.53814,42.2
2013.0,13.6,4197.349,0,24.93885,121.50383,13.0
2013.5,5.2,390.5684,5,24.97937,121.54245,52.2
2013.583,16.4,1643.499,2,24.95394,121.55174,24.7
2012.75,,512.7871,6,24.98748,121.54301,34.1
2013.25,9.1,1402.016,0,24.98569,121.5276,42.3
2013.0,39.6,480.6977,4,24.97353,121.53885,38.8
2013.25,,184.3302,6,24.96581,121.54086,45.4
2013.167,3.6,373.8389,10,24.98322,121.53765,61.9
2013.167,,718.2937,3,24.97509,121.53644,55.3
2013.583,35.9,640.7391,3,24.97563,121.53715,61.5
2012.833,34.7,482.7581,5,24.97433,121.53863,41.1
2012.667,20.2,2185.128,3,24.96322,121.51237,22.8
2013.417,17.4,995.7554,0,24.96305,121.54915,25.5
2013.25,10.4,276.449,5,24.95593,121.53913,33.6
2013.5,4.9,387.7721,9,24.98118,121.53788,44.7
2012.833,15.7,815.9314,4,24.97886,121.53464,38.1
2012.75,15.4,205.367,7,24.98419,121.54243,55.1
2013.0,,461.1016,5,24.95425,121.5399,32.9
2013.25,,444.1334,1,24.97501,121.5273,43.9
2013.0,13.0,750.0704,2,24.97371,121.54951,37.0
2013.0,13.2,492.2313,5,24.96515,121.53737,42.3
2013.5,13.6,492.2313,5,24.96515,121.53737,48.0
2013.25,,1157.988,0,24.96165,121.55011,23.8
2013.5,26.4,335.5273,6,24.9796,121.5414,38.1
2013.417,21.7,463.9623,9,24.9703,121.54458,42.0
2012.75,14.2,1801.544,1,24.95153,121.55254,24.8
2013.0,18.3,82.88643,10,24.983,121.54026,46.6
2013.0,30.8,377.7956,6,24.96427,121.53964,36.8
2013.333,37.3,587.8877,8,24.97077,121.54634,37.4
2012.917,38.3,642.6985,3,24.97559,121.53713,31.5
2013.167,10.0,942.4664,0,24.97843,121.52406,43.5
2013.167,27.5,394.0173,7,24.97305,121.53994,41.0
2012.667,,492.2313,5,24.96515,121.53737,42.5
2012.667,20.4,2469.645,4,24.96108,121.51046,23.8
2013.583,33.3,196.6172,7,24.97701,121.54224,39.4
2013.083,38.5,665.0636,3,24.97503,121.53692,34.2
2013.5,13.5,2147.376,3,24.96299,121.51284,23.6
2013.083,,189.5181,8,24.97707,121.54308,47.1
2012.833,5.1,1867.233,2,24.98407,121.51748,35.6
2013.083,12.8,732.8528,0,24.97668,121.52518,40.6
2013.25,17.0,1485.097,4,24.97073,121.517,30.7
2012.917,13.7,1236.564,1,24.97694,121.55391,30.6
2012.75,31.4,1447.286,3,24.97285,121.5173,21.5
2013.583,27.3,337.6016,6,24.96431,121.54063,36.5
2013.5,,1583.722,3,24.96622,121.51709,30.6
2012.75,29.6,769.4034,7,24.98281,121.53408,25.0
2012.75,,104.8101,5,24.96674,121.54067,38.4
2012.667,34.9,179.4538,8,24.97349,121.54245,39.7
2013.333,16.4,289.3248,5,24.98203,121.54348,41.2
2012.75,14.1,2615.465,0,24.95495,121.56174,21.8
2013.417,24.2,4605.749,0,24.94684,121.49578,13.4
2013.167,11.6,201.8939,8,24.98489,121.54121,55.9
2012.917,3.5,56.47425,7,24.95744,121.53711,53.5
2013.0,22.8,707.9067,2,24.981,121.54713,36.6
2013.583,,318.5292,9,24.97071,121.54069,78.0
2013.083,6.2,90.45606,9,24.97433,121.5431,58.0
2013.583,6.6,90.45606,9,24.97433,121.5431,59.0
2013.25,18.8,390.9696,7,24.97923,121.53986,40.6
2013.083,,395.6747,5,24.95674,121.534,24.5
2013.333,12.2,1360.139,1,24.95204,121.54842,26.6
2013.5,13.3,561.9845,5,24.98746,121.54391,54.8
2012.667,37.1,918.6357,1,24.97198,121.55063,31.9
2013.25,16.5,323.655,6,24.97841,121.54281,49.3
2013.417,31.5,5512.038,1,24.95095,121.48458,17.4
2012.833,18.0,373.3937,8,24.9866,121.54082,39.5
2012.75,3.2,489.8821,8,24.97017,121.54494,43.2
2013.083,16.2,289.3248,5,24.98203,121.54348,55.0
2013.083,41.3,124.9912,6,24.96674,121.54039,60.7
2012.917,21.2,512.5487,4,24.974,121.53842,42.5
2013.5,12.3,1360.139,1,24.95204,121.54842,29.5
2013.167,1.1,193.5845,6,24.96571,121.54089,48.6
2012.75,15.9,289.3248,5,24.98203,121.54348,42.1
2013.5,,2408.993,0,24.95505,121.55964,24.7
2013.25,34.6,272.6783,5,24.95562,121.53872,26.9
2012.917,2.0,1455.798,1,24.9512,121.549,25.6
2013.167,13.2,750.0704,2,24.97371,121.54951,37.8
2013.417,19.2,616.4004,3,24.97723,121.53767,39.6
